work_order_id,ticket_id,vehicle_reg,created_at,citations
WO-TKT-0020,TKT-0020,HR59KV7624,2026-08-30T09:07:33.489096,"[""tickets.raw_json#TKT-0020"", ""fleet_master.csv#HR59KV7624"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-01\"", \""R-10\""])""]"
WO-TKT-0021,TKT-0021,UP58VX3851,2026-08-30T09:07:33.498823,"[""tickets.raw_json#TKT-0021"", ""fleet_master.csv#UP58VX3851"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0022,TKT-0022,RJ57LG5374,2026-08-30T09:07:33.492464,"[""tickets.raw_json#TKT-0022"", ""fleet_master.csv#RJ57LG5374"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0023,TKT-0023,UK41CO2604,2026-08-30T09:07:33.500826,"[""tickets.raw_json#TKT-0023"", ""fleet_master.csv#UK41CO2604"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-03\"", \""R-10\""])""]"
WO-TKT-0024,TKT-0024,PB22DV8062,2026-08-30T09:07:33.493724,"[""tickets.raw_json#TKT-0024"", ""fleet_master.csv#PB22DV8062"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0025,TKT-0025,HR16SP9238,2026-08-30T09:07:33.499731,"[""tickets.raw_json#TKT-0025"", ""fleet_master.csv#HR16SP9238"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0026,TKT-0026,CH40IK6238,2026-08-30T09:07:33.495822,"[""tickets.raw_json#TKT-0026"", ""fleet_master.csv#CH40IK6238"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0027,TKT-0027,UP13DI3925,2026-08-30T09:07:33.488095,"[""tickets.raw_json#TKT-0027"", ""fleet_master.csv#UP13DI3925"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0028,TKT-0028,UP86CM7252,2026-08-30T09:07:33.492464,"[""tickets.raw_json#TKT-0028"", ""fleet_master.csv#UP86CM7252"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0029,TKT-0029,UP21YH6085,2026-08-30T09:07:33.491562,"[""tickets.raw_json#TKT-0029"", ""fleet_master.csv#UP21YH6085"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0030,TKT-0030,UK33BI7211,2026-08-30T09:07:33.499731,"[""tickets.raw_json#TKT-0030"", ""fleet_master.csv#UK33BI7211"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
