ticket_id,step,decision,rule_ids,data_refs,actor,created_at
TKT-0020,select_vehicle,selected HR59KV7624 from hub Gurgaon,"[""R-09"", ""R-01"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=47.0 <= 50: R-09 restricts sourcing to origin hub only (Gurgaon).\""}"", ""{\""rule_id\"": \""R-01\"", \""passed\"": true, \""explanation\"": \""Winter NCR route (Gurgaon->Kanpur, month 2): requires BS6, vehicle is BS6.\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 54d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.846173
TKT-0020,work_order,created WO-TKT-0020,[],"[""tickets.raw_json#TKT-0020"", ""fleet_master.csv#HR59KV7624"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-01\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.846173
TKT-0020,draft_comms,"drafted MSG-TKT-0020, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0020"", ""classifications#TKT-0020"", ""rules: [\""R-04\""]""]",pipeline,2026-08-30T08:42:20.846173
TKT-0014,validate,passed validation,[],"[""tickets.json#3""]",pipeline,2026-08-30T08:42:20.846173
TKT-0014,enrich,context gathered,[],"[""vehicles.reg_canonical=DL64IB1058"", ""drivers.driver_id=DRV-034"", ""maintenance_events: 3 rows"", ""clients.canonical_name=Orion Pharma""]",pipeline,2026-08-30T08:42:20.846173
TKT-0014,classify,"severity=LOW, action=Replace vehicle, notify client per ['R-07'] policy.","[""R-07""]",[],pipeline,2026-08-30T08:42:20.846173
TKT-0014,select_vehicle,selected DL82GO5198 from hub Delhi,"[""R-09"", ""R-07"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=122.0 > 50: R-09 allows nearest-hub search, order=['Delhi', 'Gurgaon', 'Faridabad', 'Noida', 'Ambala', 'Chandigarh', 'Jaipur', 'Kanpur', 'Lucknow', 'Ludhiana', 'Rudrapur'].\""}"", ""{\""rule_id\"": \""R-07\"", \""passed\"": true, \""explanation\"": \""Orion Pharma requires 2020+ vehicle, this one is 2023.\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 16d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.846173
TKT-0014,work_order,created WO-TKT-0014,[],"[""tickets.raw_json#TKT-0014"", ""fleet_master.csv#DL82GO5198"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.846173
TKT-0014,draft_comms,"drafted MSG-TKT-0014, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0014"", ""classifications#TKT-0014"", ""rules: [\""R-07\""]""]",pipeline,2026-08-30T08:42:20.846173
TKT-0017,validate,passed validation,[],"[""tickets.json#4""]",pipeline,2026-08-30T08:42:20.846173
TKT-0017,enrich,context gathered,[],"[""vehicles.reg_canonical=UP86CM7252"", ""drivers.driver_id=DRV-002"", ""maintenance_events: 4 rows"", ""clients.canonical_name=Orion Pharma""]",pipeline,2026-08-30T08:42:20.847181
TKT-0017,classify,"severity=MEDIUM, action=Replace vehicle, notify client per ['R-07'] policy.","[""R-07""]",[],pipeline,2026-08-30T08:42:20.847181
TKT-0017,select_vehicle,selected UP18VK6143 from hub Kanpur,"[""R-09"", ""R-07"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=22.0 <= 50: R-09 restricts sourcing to origin hub only (Kanpur).\""}"", ""{\""rule_id\"": \""R-07\"", \""passed\"": true, \""explanation\"": \""Orion Pharma requires 2020+ vehicle, this one is 2021.\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 26d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.847181
TKT-0017,work_order,created WO-TKT-0017,[],"[""tickets.raw_json#TKT-0017"", ""fleet_master.csv#UP18VK6143"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.847181
TKT-0017,draft_comms,"drafted MSG-TKT-0017, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0017"", ""classifications#TKT-0017"", ""rules: [\""R-07\""]""]",pipeline,2026-08-30T08:42:20.847181
TKT-0020,dedup,"duplicate ticket_id with CONFLICTING content vs first occurrence -- P-03 applied (first wins), conflict recorded for review","[""P-03""]","[""tickets.json#5""]",pipeline,2026-08-30T08:42:20.847181
TKT-0010,validate,passed validation,[],"[""tickets.json#6""]",pipeline,2026-08-30T08:42:20.847181
TKT-0010,enrich,context gathered,[],"[""vehicles.reg_canonical=UP54XZ6139"", ""drivers.driver_id=DRV-012"", ""maintenance_events: 4 rows"", ""clients.canonical_name=Apex Chemicals""]",pipeline,2026-08-30T08:42:20.847181
TKT-0010,classify,"severity=LOW, action=Replace vehicle, notify client per ['R-06'] policy.","[""R-06""]",[],pipeline,2026-08-30T08:42:20.847181
TKT-0010,select_vehicle,selected UP52IC5573 from hub Kanpur,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=27.0 <= 50: R-09 restricts sourcing to origin hub only (Kanpur).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 56d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.847181
TKT-0010,work_order,created WO-TKT-0010,[],"[""tickets.raw_json#TKT-0010"", ""fleet_master.csv#UP52IC5573"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.848195
TKT-0010,draft_comms,"drafted MSG-TKT-0010, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0010"", ""classifications#TKT-0010"", ""rules: [\""R-06\""]""]",pipeline,2026-08-30T08:42:20.848195
TKT-0029,validate,passed validation,[],"[""tickets.json#7""]",pipeline,2026-08-30T08:42:20.848195
TKT-0029,enrich,context gathered,[],"[""vehicles.reg_canonical=UP53YM5558"", ""drivers.driver_id=DRV-042"", ""maintenance_events: 3 rows"", ""clients.canonical_name=Apex Chemicals""]",pipeline,2026-08-30T08:42:20.848195
TKT-0029,classify,"severity=HIGH, action=Replace vehicle, notify client per ['R-06'] policy.","[""R-06""]",[],pipeline,2026-08-30T08:42:20.848195
TKT-0029,select_vehicle,selected UP21YH6085 from hub Lucknow,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=586.0 > 50: R-09 allows nearest-hub search, order=['Lucknow', 'Kanpur', 'Rudrapur', 'Ambala', 'Chandigarh', 'Delhi', 'Faridabad', 'Gurgaon', 'Jaipur', 'Ludhiana', 'Noida'].\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 7d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.848195
TKT-0029,work_order,created WO-TKT-0029,[],"[""tickets.raw_json#TKT-0029"", ""fleet_master.csv#UP21YH6085"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.848195
TKT-0029,draft_comms,"drafted MSG-TKT-0029, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0029"", ""classifications#TKT-0029"", ""rules: [\""R-06\""]""]",pipeline,2026-08-30T08:42:20.848195
TKT-0011,validate,passed validation,[],"[""tickets.json#8""]",pipeline,2026-08-30T08:42:20.848195
TKT-0011,enrich,context gathered,[],"[""vehicles.reg_canonical=HR85RH4608"", ""drivers.driver_id=DRV-058"", ""maintenance_events: 0 rows"", ""clients.canonical_name=Orion Pharma""]",pipeline,2026-08-30T08:42:20.848195
TKT-0011,classify,"severity=HIGH, action=Replace vehicle, notify client per ['R-07', 'R-08'] policy.","[""R-07"", ""R-08""]",[],pipeline,2026-08-30T08:42:20.848195
TKT-0011,select_vehicle,selected HR24VR5371 from hub Gurgaon,"[""R-09"", ""R-07"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=30.0 <= 50: R-09 restricts sourcing to origin hub only (Gurgaon).\""}"", ""{\""rule_id\"": \""R-07\"", \""passed\"": true, \""explanation\"": \""Orion Pharma requires 2020+ vehicle, this one is 2023.\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 4d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.849106
TKT-0011,work_order,created WO-TKT-0011,[],"[""tickets.raw_json#TKT-0011"", ""fleet_master.csv#HR24VR5371"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.849106
TKT-0011,draft_comms,"drafted MSG-TKT-0011, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0011"", ""classifications#TKT-0011"", ""rules: [\""R-07\"", \""R-08\""]""]",pipeline,2026-08-30T08:42:20.849106
TKT-0028,validate,passed validation,[],"[""tickets.json#9""]",pipeline,2026-08-30T08:42:20.849106
TKT-0028,enrich,context gathered,[],"[""vehicles.reg_canonical=UP71AL5892"", ""drivers.driver_id=DRV-003"", ""maintenance_events: 2 rows"", ""clients.canonical_name=Orion Pharma""]",pipeline,2026-08-30T08:42:20.849106
TKT-0028,classify,"severity=HIGH, action=Replace vehicle, notify client per ['R-07'] policy.","[""R-07""]",[],pipeline,2026-08-30T08:42:20.849106
TKT-0028,select_vehicle,selected UP86CM7252 from hub Kanpur,"[""R-09"", ""R-07"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=33.0 <= 50: R-09 restricts sourcing to origin hub only (Kanpur).\""}"", ""{\""rule_id\"": \""R-07\"", \""passed\"": true, \""explanation\"": \""Orion Pharma requires 2020+ vehicle, this one is 2020.\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 16d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.849106
TKT-0028,work_order,created WO-TKT-0028,[],"[""tickets.raw_json#TKT-0028"", ""fleet_master.csv#UP86CM7252"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.849106
TKT-0028,draft_comms,"drafted MSG-TKT-0028, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0028"", ""classifications#TKT-0028"", ""rules: [\""R-07\""]""]",pipeline,2026-08-30T08:42:20.849106
TKT-0022,validate,passed validation,[],"[""tickets.json#10""]",pipeline,2026-08-30T08:42:20.849106
TKT-0022,enrich,context gathered,[],"[""vehicles.reg_canonical=RJ66RW8007"", ""drivers.driver_id=DRV-030"", ""maintenance_events: 1 rows"", ""clients.canonical_name=Vertex Retail""]",pipeline,2026-08-30T08:42:20.849106
TKT-0022,classify,"severity=MEDIUM, action=Replace vehicle, notify client per ['R-05'] policy.","[""R-05""]",[],pipeline,2026-08-30T08:42:20.849106
TKT-0022,select_vehicle,selected RJ57LG5374 from hub Jaipur,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=27.0 <= 50: R-09 restricts sourcing to origin hub only (Jaipur).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 83d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.849106
TKT-0022,work_order,created WO-TKT-0022,[],"[""tickets.raw_json#TKT-0022"", ""fleet_master.csv#RJ57LG5374"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.849106
TKT-0022,draft_comms,"drafted MSG-TKT-0022, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0022"", ""classifications#TKT-0022"", ""rules: [\""R-05\""]""]",pipeline,2026-08-30T08:42:20.850087
TKT-0015,validate,passed validation,[],"[""tickets.json#11""]",pipeline,2026-08-30T08:42:20.850087
TKT-0015,enrich,context gathered,[],"[""vehicles.reg_canonical=CH74TG3504"", ""drivers.driver_id=DRV-050"", ""maintenance_events: 4 rows"", ""clients.canonical_name=Apex Chemicals""]",pipeline,2026-08-30T08:42:20.850087
TKT-0015,classify,"severity=LOW, action=Replace vehicle, notify client per ['R-06'] policy.","[""R-06""]",[],pipeline,2026-08-30T08:42:20.850087
TKT-0015,select_vehicle,selected CH10YZ3615 from hub Chandigarh,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=38.0 <= 50: R-09 restricts sourcing to origin hub only (Chandigarh).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 32d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.850087
TKT-0015,work_order,created WO-TKT-0015,[],"[""tickets.raw_json#TKT-0015"", ""fleet_master.csv#CH10YZ3615"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.850087
TKT-0015,draft_comms,"drafted MSG-TKT-0015, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0015"", ""classifications#TKT-0015"", ""rules: [\""R-06\""]""]",pipeline,2026-08-30T08:42:20.850087
TKT-0003,validate,passed validation,[],"[""tickets.json#12""]",pipeline,2026-08-30T08:42:20.850087
TKT-0003,enrich,context gathered,[],"[""vehicles.reg_canonical=PB74TA4257"", ""drivers.driver_id=DRV-041"", ""maintenance_events: 1 rows"", ""clients.canonical_name=Vertex Retail""]",pipeline,2026-08-30T08:42:20.850087
TKT-0003,classify,"severity=HIGH, action=Replace vehicle, notify client per ['R-05', 'R-08'] policy.","[""R-05"", ""R-08""]",[],pipeline,2026-08-30T08:42:20.850087
TKT-0003,select_vehicle,selected PB53DC7224 from hub Ludhiana,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=11.0 <= 50: R-09 restricts sourcing to origin hub only (Ludhiana).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 20d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.850087
TKT-0003,work_order,created WO-TKT-0003,[],"[""tickets.raw_json#TKT-0003"", ""fleet_master.csv#PB53DC7224"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.850087
TKT-0003,draft_comms,"drafted MSG-TKT-0003, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0003"", ""classifications#TKT-0003"", ""rules: [\""R-05\"", \""R-08\""]""]",pipeline,2026-08-30T08:42:20.850087
TKT-0005,validate,passed validation,[],"[""tickets.json#13""]",pipeline,2026-08-30T08:42:20.851090
TKT-0005,enrich,context gathered,[],"[""vehicles.reg_canonical=UK79WJ9666"", ""drivers.driver_id=DRV-034"", ""maintenance_events: 3 rows"", ""clients.canonical_name=Orion Pharma""]",pipeline,2026-08-30T08:42:20.851090
TKT-0005,classify,"severity=HIGH, action=Replace vehicle, notify client per ['R-07', 'R-08'] policy.","[""R-07"", ""R-08""]",[],pipeline,2026-08-30T08:42:20.851090
TKT-0005,select_vehicle,selected UK29NF9548 from hub Rudrapur,"[""R-09"", ""R-07"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=21.0 <= 50: R-09 restricts sourcing to origin hub only (Rudrapur).\""}"", ""{\""rule_id\"": \""R-07\"", \""passed\"": true, \""explanation\"": \""Orion Pharma requires 2020+ vehicle, this one is 2021.\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 28d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.851434
TKT-0005,work_order,created WO-TKT-0005,[],"[""tickets.raw_json#TKT-0005"", ""fleet_master.csv#UK29NF9548"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.851434
TKT-0005,draft_comms,"drafted MSG-TKT-0005, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0005"", ""classifications#TKT-0005"", ""rules: [\""R-07\"", \""R-08\""]""]",pipeline,2026-08-30T08:42:20.851434
TKT-0024,validate,passed validation,[],"[""tickets.json#14""]",pipeline,2026-08-30T08:42:20.851434
TKT-0024,enrich,context gathered,[],"[""vehicles.reg_canonical=PB42BW8144"", ""drivers.driver_id=DRV-045"", ""maintenance_events: 2 rows"", ""clients.canonical_name=Internal""]",pipeline,2026-08-30T08:42:20.851434
TKT-0024,classify,"severity=MEDIUM, action=Replace vehicle, notify client per standard policy.",[],[],pipeline,2026-08-30T08:42:20.851434
TKT-0024,select_vehicle,selected PB22DV8062 from hub Ludhiana,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=324.0 > 50: R-09 allows nearest-hub search, order=['Ludhiana', 'Chandigarh', 'Ambala', 'Jaipur', 'Delhi', 'Faridabad', 'Gurgaon', 'Kanpur', 'Lucknow', 'Noida', 'Rudrapur'].\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 73d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.851434
TKT-0024,work_order,created WO-TKT-0024,[],"[""tickets.raw_json#TKT-0024"", ""fleet_master.csv#PB22DV8062"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.851434
TKT-0024,draft_comms,"drafted MSG-TKT-0024, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0024"", ""classifications#TKT-0024"", ""rules: []""]",pipeline,2026-08-30T08:42:20.851434
TKT-0007,validate,passed validation,[],"[""tickets.json#15""]",pipeline,2026-08-30T08:42:20.851434
TKT-0007,enrich,context gathered,[],"[""vehicles.reg_canonical=DL33CT2113"", ""drivers.driver_id=DRV-053"", ""maintenance_events: 0 rows"", ""clients.canonical_name=Orion Pharma""]",pipeline,2026-08-30T08:42:20.851434
TKT-0007,classify,"severity=LOW, action=Replace vehicle, notify client per ['R-07'] policy.","[""R-07""]",[],pipeline,2026-08-30T08:42:20.851434
TKT-0007,select_vehicle,BLOCKED: no eligible vehicle found. Rejected 10 candidates.,"[""R-09""]","[""{\""vehicle_id\"": \""MF-001\"", \""reg\"": \""DL13XI5012\"", \""reason\"": \""R-01: Winter NCR route (Delhi->Ludhiana, month 2): requires BS6, vehicle is BS4.; R-07: Orion Pharma requires 2020+ vehicle, this one is 2016.; R-10: No maintenance history at all for this vehicle: cannot confirm not-overdue, failing closed.\""}"", ""{\""vehicle_id\"": \""MF-029\"", \""reg\"": \""DL41GG9786\"", \""reason\"": \""R-01: Winter NCR route (Delhi->Ludhiana, month 2): requires BS6, vehicle is BS4.; R-07: Orion Pharma requires 2020+ vehicle, this one is 2019.; R-10: Last maintenance touchpoint 195d ago (grounded if > 90d, ASSUMPTION-01).\""}"", ""{\""vehicle_id\"": \""MF-035\"", \""reg\"": \""DL33CT2113\"", \""reason\"": \""is the broken-down vehicle itself\""}"", ""{\""vehicle_id\"": \""MF-043\"", \""reg\"": \""DL64IB1058\"", \""reason\"": \""R-01: Winter NCR route (Delhi->Ludhiana, month 2): requires BS6, vehicle is BS4.; R-07: Orion Pharma requires 2020+ vehicle, this one is 2018.\""}"", ""{\""vehicle_id\"": \""MF-077\"", \""reg\"": \""DL82GO5198\"", \""reason\"": \""already reserved by another ticket this run\""}"", ""{\""vehicle_id\"": \""MF-078\"", \""reg\"": \""DL30JD1420\"", \""reason\"": \""R-01: Winter NCR route (Delhi->Ludhiana, month 2): requires BS6, vehicle is BS4.; R-07: Orion Pharma requires 2020+ vehicle, this one is 2017.\""}"", ""{\""vehicle_id\"": \""MF-080\"", \""reg\"": \""DL82ZB6688\"", \""reason\"": \""R-10: Last maintenance touchpoint 326d ago (grounded if > 90d, ASSUMPTION-01).\""}"", ""{\""vehicle_id\"": \""MF-088\"", \""reg\"": \""DL47HM4986\"", \""reason\"": \""R-01: Winter NCR route (Delhi->Ludhiana, month 2): requires BS6, vehicle is BS4.; R-07: Orion Pharma requires 2020+ vehicle, this one is 2017.; R-10: Last maintenance touchpoint 137d ago (grounded if > 90d, ASSUMPTION-01).\""}"", ""{\""vehicle_id\"": \""MF-094\"", \""reg\"": \""DL11SJ8690\"", \""reason\"": \""R-01: Winter NCR route (Delhi->Ludhiana, month 2): requires BS6, vehicle is BS4.; R-07: Orion Pharma requires 2020+ vehicle, this one is 2019.; R-10: Last maintenance touchpoint 111d ago (grounded if > 90d, ASSUMPTION-01).\""}"", ""{\""vehicle_id\"": \""MF-100\"", \""reg\"": \""DL30AN8381\"", \""reason\"": \""R-10: Last maintenance touchpoint 96d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.852532
TKT-0001,validate,passed validation,[],"[""tickets.json#16""]",pipeline,2026-08-30T08:42:20.852532
TKT-0001,enrich,context gathered,[],"[""vehicles.reg_canonical=UP37UP7482"", ""drivers.driver_id=DRV-026"", ""maintenance_events: 3 rows"", ""clients.canonical_name=Apex Chemicals""]",pipeline,2026-08-30T08:42:20.852532
TKT-0001,classify,"severity=MEDIUM, action=Replace vehicle, notify client per ['R-06'] policy.","[""R-06""]",[],pipeline,2026-08-30T08:42:20.852532
TKT-0001,select_vehicle,selected UP53YM5558 from hub Lucknow,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=25.0 <= 50: R-09 restricts sourcing to origin hub only (Lucknow).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 86d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.852532
TKT-0001,work_order,created WO-TKT-0001,[],"[""tickets.raw_json#TKT-0001"", ""fleet_master.csv#UP53YM5558"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.852532
TKT-0001,draft_comms,"drafted MSG-TKT-0001, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0001"", ""classifications#TKT-0001"", ""rules: [\""R-06\""]""]",pipeline,2026-08-30T08:42:20.852532
TKT-9102,validate,"quarantined: missing critical field: origin_hub; missing critical field: issue; unparseable created_at: 'not-a-date'; adapter: missing/blank after mapping: ['origin_hub', 'issue']",[],"[""tickets.json#17""]",pipeline,2026-08-30T08:42:20.852532
TKT-0019,validate,passed validation,[],"[""tickets.json#18""]",pipeline,2026-08-30T08:42:20.852532
TKT-0019,enrich,context gathered,[],"[""vehicles.reg_canonical=CH81AQ4130"", ""drivers.driver_id=DRV-021"", ""maintenance_events: 2 rows"", ""clients.canonical_name=Internal""]",pipeline,2026-08-30T08:42:20.852532
TKT-0019,classify,"severity=MEDIUM, action=Replace vehicle, notify client per standard policy.",[],[],pipeline,2026-08-30T08:42:20.852532
